time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,8,5,0,0
2026-04-19 00:00:00+00:00,32,8,0,0
2026-04-20 00:00:00+00:00,34,9,1,1
2026-04-21 00:00:00+00:00,27,13,0,0
2026-04-22 00:00:00+00:00,62,22,0,0
2026-04-23 00:00:00+00:00,79,25,0,0
2026-04-24 00:00:00+00:00,57,20,0,0
2026-04-25 00:00:00+00:00,58,26,0,0
2026-04-26 00:00:00+00:00,49,10,0,0
2026-04-27 00:00:00+00:00,27,9,0,0
2026-04-28 00:00:00+00:00,33,9,0,0
2026-04-29 00:00:00+00:00,33,10,0,0
2026-04-30 00:00:00+00:00,40,11,0,0
2026-05-01 00:00:00+00:00,35,9,0,0
